Source,Target,Weight
0,1,0.12373427502826007
2,3,0.16338646577963423
4,5,0.551034194238634
6,7,0.9830049046995687
8,9,0.807848449335429
10,11,0.8059346170555941
12,13,0.0926675876908627
14,15,0.40561899217610964
16,6,0.22086565673861125
17,18,0.2372085565298664
19,20,0.4417399775975458
21,22,0.05245288196520359
23,24,0.6296952108143443
25,26,0.2729853270843269
6,27,0.3102982492581462
28,27,0.11478791181854181
29,30,0.772737096882479
31,32,0.8293963352856033
23,33,0.18508695717273116
34,35,0.8529652123872448
6,20,0.2214345819316551
36,37,0.14179321686124968
20,38,0.08848439720294032
39,12,0.8072972432770574
40,41,0.9517247090612266
42,43,0.7240614312939901
33,44,0.5748302745723668
5,24,0.24775582975078034
4,45,0.5798667329133881
46,47,0.9765069267868315
35,48,0.7449179500621881
49,50,0.8184538977144252
18,51,0.3595323684792918
52,20,0.3184387524803564
4,53,0.419880897794113
29,47,0.008991122113915381
54,55,0.9676733982930811
22,56,0.24211242148948375
57,58,0.4807992828892691
5,27,0.46908242510525106
59,60,0.004382964935628619
35,61,0.37111994650946367
62,63,0.6039714282565642
64,22,0.4913469273429375
14,65,0.3225492560746801
12,66,0.24725895549561738
67,68,0.1484308100723788
16,69,0.6487851284996453
48,70,0.6192254247034731
71,72,0.5776761208362609
73,74,0.30254325328310216
75,33,0.4999326967210096
20,5,0.1622353139293389
76,77,0.5245499367286149
78,79,0.07584361258046579
79,27,0.04175804445356498
80,81,0.07792224916639745
82,79,0.02954957094318125
83,22,0.1795496355174259
84,85,0.5377170668319836
86,87,0.0822853080358471
48,34,0.6176844103726805
30,87,0.4808833773775024
88,8,0.2680058428854951
89,32,0.004680332787429393
90,91,0.07319853442372104
92,93,0.6424163368576897
94,32,0.08420942263726655
95,96,0.5339047050744135
29,42,0.6405423649078699
48,97,0.44597961109093787
98,99,0.06705171342950134
16,100,0.8033878056184851
1,101,0.9925179093202487
102,55,0.0058023597126414615
40,17,0.4620356249412775
27,7,0.0018653114546154372
24,96,0.1760928435416669
29,101,0.0008861630669556741
103,68,0.29180853781418753
104,105,0.4268401502431268
106,107,0.7159087299796798
108,44,0.2356388274964223
23,109,0.12068652385284662
110,111,0.932427167571921
59,112,0.9724850928274001
113,114,0.804243576148941
83,115,0.5817578230966972
17,73,0.32391692426642216
88,71,0.13312850409305055
90,112,0.007712179389698356
20,71,0.5866285696485674
116,117,0.6523944429619519
118,119,0.32237234066123155
120,112,0.01806911033737143
6,76,0.47870216674537514
114,121,0.5746947504381451
49,22,0.16629799013247162
82,122,0.8919390919268575
109,123,0.0706963136675488
78,52,0.0019056274102364767
39,102,0.055090684283179536
98,124,0.8625764002021574
27,98,0.8706791471379774
59,105,0.5130446314368494
87,49,0.025527298745818605
76,125,0.6479557749492844
15,43,0.1556620213215487
30,22,0.07084237868339885
6,99,0.0324276047460539
96,23,0.275572883245483
79,102,0.672587467080668
72,3,0.5336114051916787
17,33,0.06704053121203793
40,79,0.6799292287726488
98,79,0.11666853672318288
121,46,0.7809932067839152
31,126,0.9663334111951006
45,11,0.13787532571701233
21,44,0.14858369294185406
127,128,0.7046591237470619
129,101,0.0008312503303011897
38,123,0.17699769196863097
27,72,0.06810991334995314
38,111,0.024320628250363633
7,79,0.031401499216039026
82,130,0.04727277380952288
131,3,0.06729080982612988
