Source,Target,Weight
0,7,0.42471299062337153
0,18,0.6218779206793442
0,35,0.5393231383889486
1,2,0.028738956764202905
1,3,0.8604033890306714
1,5,0.6422386533025933
1,7,0.03870539007351205
1,11,0.5704072592469877
1,15,0.916442302680873
1,19,0.0990065176700845
1,20,0.5238471905784748
2,3,0.1363288732296702
2,7,0.5176032198482599
2,10,0.5073375343014832
2,15,0.04924565572194302
2,19,0.5846276164854448
2,22,0.22278944705563875
2,23,0.17596992754429275
2,59,0.6224647374277641
4,87,0.7966671459868059
4,117,0.0400669116423128
4,163,0.7956720688771319
4,305,0.4441189879356777
4,368,0.4963348724914399
4,446,0.45747878402537223
4,607,0.8018512904970906
4,656,0.008035758666539938
5,7,0.0007450394060122767
5,27,0.05181540993640821
5,47,0.6947064540843939
6,8,0.8147824569067751
6,15,0.028341617637176197
6,17,0.567831202951386
6,25,0.9325092370759553
7,8,0.016216664973971773
7,10,0.3722414551096503
7,16,0.574930140499065
7,17,0.34107909829499194
7,18,0.09579248409015712
7,19,0.0038921351153789366
7,20,0.34564938499296505
7,22,0.714406569218404
7,25,0.01914843855136981
7,26,0.7120094268521346
7,29,0.8177173438623785
7,31,0.3759643019146822
7,32,0.07735535588102294
7,33,0.9143290834753408
7,36,0.6696377752213201
7,38,0.9760280630575753
7,39,0.8390855255690107
7,41,0.6326046222233415
7,43,0.12537664837528517
7,44,0.9322424397953115
7,45,0.30395753392286917
8,15,0.0031138277295199627
8,19,0.11991449032145352
8,31,0.30490346380724925
8,33,0.018137398874476032
8,48,0.5012566569661508
8,54,0.7646381957717074
8,57,0.9261781849991895
8,58,0.7707103124786978
8,87,0.20308694015232168
8,116,0.8783653834644881
9,22,0.05267377474012347
11,49,0.8875480389475102
12,15,0.002317075227524165
12,27,0.39063953414608266
12,32,0.4710387841667384
12,40,0.5896961997357609
12,63,0.6384794723036413
12,70,0.21677208010708293
12,77,0.04734358641897285
12,94,0.5737752278726911
12,95,0.5513903544680174
12,126,0.671067723809836
12,162,0.08448549058451105
12,165,0.29667932304059974
12,189,0.5522294000417136
12,195,0.407769488605074
12,206,0.5287966528427545
12,229,0.7824632446926358
13,19,0.1675860300983269
13,46,0.4508458359824751
13,54,0.18080290467447113
13,55,0.8952896166298867
13,62,0.4978694667559428
13,87,9.262283409867564e-06
13,97,0.6210875555993354
13,109,0.5913856442119717
14,19,0.007723079838454505
15,59,0.07932959054462939
17,33,0.04983548787322231
19,23,0.3977123802410252
19,24,0.09890577540430445
19,32,0.3874656332935617
19,65,0.13510910776097185
19,78,0.4543394815689532
20,32,0.04544322353610821
20,36,0.09923471343957115
20,272,0.3448792506189242
21,35,0.28528083630861756
21,39,0.12520032134247053
21,66,0.005708280446975689
21,69,0.10074421017860269
21,87,0.00023230936651410147
21,97,0.1816009700545557
21,103,0.976052257774857
21,122,0.6734346542072487
21,157,0.6524852630493019
21,206,0.31943670893483395
21,305,0.07075021760325258
21,407,0.5036378496678314
21,535,0.3662015888419211
21,554,0.9237204726374668
21,616,0.1117470022199738
22,32,0.014135170390515624
22,36,0.13609524707320275
23,31,0.24799112271550722
23,44,0.010521260629238692
24,52,0.7677768122883529
24,54,0.00038386638566626066
24,74,0.4768127749427368
24,87,9.051378474249259e-07
24,89,0.13392433216123856
24,99,0.9603343507197609
24,111,0.3233862911486145
24,123,0.11974144006852183
24,145,0.731238889543808
24,149,0.522441392532635
24,150,0.7148417397516509
25,30,0.39782361348736506
25,51,0.16656726638765829
28,49,0.02961530594083914
28,63,0.23628280576867874
30,86,0.9543068423784226
31,44,0.041775517601523565
34,42,0.5784738403247566
34,97,0.13771299713402096
34,105,0.6906425801116148
34,147,0.0545209497621707
34,194,0.7573008928700553
34,211,0.3595861628716782
34,256,0.09277220749356052
34,272,0.09184182012898588
37,198,0.9354544231689311
38,49,0.026351148782536
41,49,0.0013985168881627812
44,49,0.03273843729415008
44,68,0.6873897866489078
46,49,0.012754713169447032
46,53,0.5288643457779418
46,59,0.14989524763873038
46,66,0.1089590275257136
46,81,0.7944916514151745
46,90,0.37796403281183644
46,96,0.06837593522444407
48,65,0.17887201802332273
48,87,1.5018110128621672e-06
48,89,0.6144567071885664
48,120,0.5372250177574344
48,160,0.21672424665712176
48,189,0.4014604427997272
48,192,0.7438981789641609
49,75,0.4349328463406349
49,81,0.049825481568394364
49,85,0.6880008192664676
